,Job Title,Company Name,City,Region,Workplace Type,Work Type,Experience,Company Size,Industry,Job Description,Job Link,Industry_cleaned,Company_Size_cleaned,Job_Title_cleaned,Job_Title_cleaned2,Years_exp,liststring,Job_skills
0,Power Bi Consultant,On The Chart,Amsterdam, North Holland,Hybrid,Full-time,Full-time,1-10 employees,1-10 employees,"""vacature pdf: https://onthechart.nl/wp-content/uploads/2022/12/vacature-power-bi-consultant.pdf power bi consultant (medior/senior) on the chart is een groeiend power bi consultancy bedrijf en is op zoek naar versterking ben jij een ervaren power bi developer? zie jij ook dat power bi de toekomst is? wil je ons helpen om groter te worden? wat wij jou bieden richtlijn 48k-65k per jaar (afhankelijk van ervaring) bonusregeling pensioen ns businesscard leerbudget een jaarcontract, daarna voor onbepaalde tijd fulltime of 4 dagen per februari 2023 (of als het kan eerder) functieomschrijving je kerntaak is het ontwikkelen van power bi dashboards. het creă«rende gedeelte van het werk is technisch, je vindt het heerlijk om op sommige dagen geconcentreerd bezig te zijn met het transformeren, modelleren en analyseren van data. ook aan het visualiseren besteed je veel aandacht, want on the chart onderscheidt zich met heldere dashboards en een sterke ux/ui. naast het bouwen zelf heb je veel klantcontact. je spart met klanten over toepassingen. je managet projecten, doet intakes, traint de klant en levert dashboards op. je zorgt er voor dat het eindproduct succesvol geăżmplementeerd wordt en vaak blijf je nog een tijd betrokken om te waarborgen dat het dashboard (goed) gebruikt wordt. we zijn klein, maar hebben grote ambities. en daar hoort de ontwikkeling van ons bedrijf bij, in de diepte ă©n in de breedte. misschien beweeg jij je richting power apps/automate, richting een specifieke niche zoals hr analytics of juist meer richting acquisitie en projectmanagement. behalve consultancy geven we veel training, dus daar is altijd ruimte voor! je zult regelmatig bij klanten zijn, maar ook vanuit huis werken. voor je focus kan dat ook wel heel fijn zijn! hoewel we geen kantoor hebben zorgen we er voor dat we elkaar als team regelmatig zien, bij klanten, op flexwerkplekken, bij elkaar thuis of online. onze ideale kandidaat bovenal zoeken we iemand met wie we een goede klik hebben, want ons sterke teamgevoel vinden wij belangrijk! verder zoeken we iemand die dit meebrengt: heeft minimaal 3-5 jaar werkervaring, liefst als consultant of binnen een grote organisatie is een ervaren power bi developer met kennis van transformeren, modelleren, dax en het maken van dashboards wordt net als wij heel enthousiast van het oplossen van moeilijke puzzels (daar helpen we elkaar graag bij!) begrijpt niet alleen data, maar ook de klant en het perspectief van de eindgebruiker heeft sterke communicatieve vaardigheden en is kritisch, zoekt altijd naar de vraag achter de vraag is iemand die graag meedenkt in strategische sessies over de toekomst van on the chart en mee bouwt aan onze business wie wij zijn on the chart komt voort uit een ander bedrijf en heeft daardoor sinds 2021 een vliegende start kunnen maken met een hecht team en grote klanten. we zitten momenteel fulltime bij samsung om de hele organisatie van top-of-the-bill dashboards te voorzien en we komen al jaren over de vloer bij bedrijven als bol.com en coca-cola. maar ook binnen mkb en in de publieke sector kennen we de weg. we hebben veel gedaan bij de gemeente amsterdam en ondersteunen doorlopend een jeugdhulporganisatie. het is maar een greep. we zijn klein en genieten van de voordelen die dat heeft. officieel gestart tijdens corona was er geen reden om een kantoor te nemen. maar nu het kan willen we ook graag weer terug naar de tijd van tafeltennis, vrijmiboâ€™s en gezamelijke lunch. teamdagen zijn in ieder geval nooit weg geweest!""",/jobs/view/3434789835/?alternateChannel=search&refId=muJi%2Bo4LZMobb0Q6E4PkFQ%3D%3D&trackingId=SeYMH2bNhCYz1qOxl19fFw%3D%3D&trk=d_flagship3_search_srp_jobs,,1-10 employees,Power Bi Consultant,Power Bi Consultant,['3-5 jaar'],3-5 jaar,"['power bi', 'dax']"
1,Business Intelligence Consultant,2Foqus,Breda, North Brabant,Hybrid,Full-time,Full-time,11-50 employees,11-50 employees,"""lijkt het jou tof om aan de slag te gaan met het maken van vette dashboards voor klanten? zoek dan niet verder, bij ons ga je bij klanten aan de slag om hun kpiâ€™s in kaart te brengen door het creă«ren van dashboards met bijvoorbeeld qlik of power bi. jij geniet er elke dag weer van als klanten op basis van jouw dashboards betere beslissingen maken. heb je een passie voor data? dan is de functie van business intelligence iets voor jou. zien we jou snel tijdens een kop koffie? wat ga je dan preciă©s doen? - je helpt klanten met het koppelen, beheren en ontsluiten van data. - je vertaalt de informatiebehoefte van de klant naar een concreet project(plan). - je creă«ert analyses, rapportages en visualisaties voor de klant. - je signaleert de consultancybehoeften bij (potentiă«le) klanten. - je signaleert problemen & uitdagingen bij klanten en lost deze op. wie zijn wij? al bijna 15 jaar brengt 2foqus mensen, data en bedrijfsresultaten samen in slimme-data oplossingen. dit doen wij aan de hand van vier pijlers: data literacy, data management, analytics en academy. vanuit onze kantoren in breda en apeldoorn werken we voor meer dan 500 organisaties in bijvoorbeeld de flexbranche, logistiek, productie en zorg. ons team bestaat uit meer dan 50 specialisten met een passie voor data. bij 2foqus houden wij ook van gezelligheid, die samen nă©t dat stapje extra zet voor onze klanten en voor elkaar. we werken samen hard om geweldige resultaten te behalen en vieren deze dan ook graag. â€śwork hard, play hardâ€ť is dan ook ons motto. wat bieden wij? er wordt hard gewerkt, maar er is ook altijd ruimte om je collegaâ€™s uit te dagen voor een gezellig potje darten of tafelvoetbal. iedereen staat voor elkaar klaar, wat zorgt voor een fijne werkomgeving. ook heb je de mogelijkheid jezelf verder te ontwikkelen, door bijvoorbeeld een opleiding of training te volgen. maar er is nog meer: - 28 vakantiedagen; - faciliteiten om flexibel te werken (telefoon/laptop/lease auto); - gratis gebruikmaken van het openbaar vervoer; - kwartaalmeetings op een toffe locatie in het land met vaak aansluitend een activiteit; - sporten met je collegaâ€™s: maandelijkse padelsessies (niet verplicht); - een goed salaris. - pensioenregeling. wat breng jij mee? - je bent in staat om te communiceren in de taal van de klant en dit te vertalen naar de technische behoefte. - je bent analytics ingesteld en houdt ervan om zaken sneller, slimmer en mooier te maken. beschik je deze skills misschien niet helemaal, maar wordt je enthousiast van de vacature? en heb je gewoon zin om jezelf te ontwikkelen? geen probleem, dat kan bij 2foqus! ben jij de gedreven, gezellige bi consultant die wij zoeken? we zien jouw motivatiebrief en cv graag tegemoet. dit kun je sturen naar hr coă¶rdinator, sabine hilhorst: hr@2foqus.nl. heb je vragen? bel of whatsapp gerust: 06 â€“ 43 02 35 92.""",/jobs/view/3452045317/?alternateChannel=search&refId=muJi%2Bo4LZMobb0Q6E4PkFQ%3D%3D&trackingId=FkuKHjTt8gEToKJi5K2vCg%3D%3D&trk=d_flagship3_search_srp_jobs,,11-50 employees,Business Intelligence Consultant,Business Intelligence Consultant,['15 jaar'],15 jaar,[]
2,Informatieanalyst,Vektis,Zeist, Utrecht,Hybrid,Full-time,Associate,51-200 employees,Information Services,"""de standaarden en referentieproducten die wij beheren en ontwikkelen, vormen het fundament van het kunnen declareren van zorg. de financiering van de zorg is een complex speelveld. als team zorgen wij door middel van onze producten dat het geheel toch overzichtelijk is. wil jij ook een tastbare bijdrage leveren aan het zorgproces?â€ť bas vermeulen â€“ productowner ben jij een talentvolle informatieanalist en ben je op zoek naar een nieuwe uitdaging bij een mooie organisatie? kun je de verbinding leggen in verschillende inhoudelijke werkgroepen? staan de wensen van klanten bij jou centraal en begrijp en vertaal jij hun informatiebehoeftes moeiteloos naar passende oplossingen? lees dan zeker verder! je nieuwe baan vektis beheert de standaarden die nodig zijn voor elektronische gegevensuitwisseling tussen zorgverzekeraars en andere partijen in de zorgketen. een voorbeeld daarvan zijn de declaratiestandaarden waarmee zorgaanbieders elektronisch declareren of factureren. ook ontwikkelt en onderhoudt vektis meerdere registers, die zorgverzekeraars en andere partijen in de zorgketen gebruiken voor hun eigen processen (bijvoorbeeld informatie over kosten van prestaties of prijzen van medicijnen). als informatieanalist vertaal je de informatiebehoefte van betrokken partijen naar een standaard of een register. je zorgt, in afstemming met stakeholders ă©n in samenspraak met jouw multidisciplinaire team, voor de inhoud en (door)ontwikkeling van deze producten. momenteel vernieuwen en vervangen we alle tools om năłg beter onze klanten te kunnen bedienen. werken als informatieanalist bij vektis na een productieve thuiswerkdag kies je er vandaag voor om naar kantoor te gaan. in de groene omgeving van het vektis-kantoor begint je dag met een kop koffie en een praatje met collegaâ€™s. na de dagstart waarin je samen met het team de voortgang bespreekt, open je het sprintbord. je pakt wijzigingsverzoeken van zorgverzekeraars op, beoordeelt aanvragen en koppelt die terug aan de wijzigingscommissie. vervolgens voer je een paar goedgekeurde aanpassingen door in de systemen van vektis en publiceert deze op de website. tussendoor help je een teamlid met een ingewikkelde vraag over de vernieuwing van het coderegister. rond het middaguur pak je een aantal klantvragen op uit de servicemanagementtool (topdesk). je sluit de heerlijke lunchmaaltijd in het restaurant af met een korte boswandeling. de middag staat in het teken van een tweetal projecten. eerst overleg je met verschillende zorgverzekeraars, vecozo en zorgverzekeraars nederland om duidelijkheid te krijgen over de eisen en de wensen voor een nieuwe applicatie die nog in de kinderschoenen staat. voor een ander project zijn deze al duidelijk en werk je verder aan het opstellen van de benodigde documentatie. de dag zit er bijna op. gauw nog wat mailtjes afhandelen en tevreden naar huis. eigenlijk nu alweer zin in morgen! de wensen en informatiebehoeftes van onze klanten staan bij jou voorop. je bent een goede gesprekspartner en je kunt omgaan met verschillen van inzicht. je bent een procesgerichte teamspeler, met een sterk analytisch denkvermogen. deze rol vraagt om iemand die graag het initiatief neemt en helder communiceert. je vindt vernieuwing en verbetering van tools altijd een belangrijk onderdeel van jouw functie. je hebt: hbo/wo-werk- en denkniveau ruime ervaring met business- en informatieanalyse het vermogen conceptueel te denken kennis van de administratieve processen, bij voorkeur in de zorg heb je ook ervaring met xml? dan zijn wij extra blij met je sollicitatie. je nieuwe werkgever vektis is hă©t business intelligence centrum voor de zorg. met ruim 140 mensen zetten wij ons dagelijks in voor goede zorg voor mensen in nederland. het is plezierig werken bij ons. daar doen we veel aan: wij bieden je een moderne werkplek, flexibele werktijden en een open, informele werksfeer. ons kantoor ligt in een bosrijke omgeving dicht bij het centrum van zeist. het is goed bereikbaar met het openbaar vervoer en je kunt er vrij parkeren. even een frisse neus halen in het bos of een boodschap in zeist doen? geen probleem, dat doen wij zelf ook vaak. samen met het team spreek je af welke activiteiten je op het kantoor in teamverband doet en welke thuis. vektis is volop in beweging. jij speelt daar zelf, samen met je team, een grote rol in. uiteraard vergeten we daarbij ook jouw eigen ontwikkeling niet. je kunt je kennis verbreden ăłf verdiepen in de vektis academy. lijkt het je wat? zoals je hebt kunnen lezen in de vacature werkt vektis hybride. de gesprekken kunnen online plaatsvinden of op onze mooie locatie in zeist. we kijken gewoon wat het beste uitkomt. wel vinden we het belangrijk om je in het sollicitatietraject minimaal 1 keer persoonlijk te ontmoeten. heb je vragen over de functie? stuur een mail naar werken@vektis.nl. wij wensen geen acquisitie naar aanleiding van deze vacature.""",/jobs/view/3415867258/?alternateChannel=search&refId=muJi%2Bo4LZMobb0Q6E4PkFQ%3D%3D&trackingId=huCu9vnO%2FQbmBSkWkDTHVg%3D%3D&trk=d_flagship3_search_srp_jobs,Information Services,51-200 employees,Informatieanalyst,Informatieanalyst,[],,[]
3,"Principal Biostatistician, Single Sponsor, Home Or Office Based Emea",Labcorp,Leiden, South Holland,On-site,Full-time,Mid-Senior level,"10,001+ employees",Hospitals and Health Care,"""principal biostatistician our sponsor-dedicated flexible solutions business unit , you are central to the successful delivery of complex clinical trials for renowned, innovative and global top pharmaceutical and biotech companies. you will have the opportunity to lead studies through various phases of the clinical development plan and support submissions, regulatory questions, publications as well as ad hoc and post hoc requests. what else can you expect from us? rewarding and meaningful work in an established, diverse, highly profitable and respected global company highly competitive compensation packages, including various local benefits such as pension contributions, complimentary health insurance plans, remote working allowances etc. a genuine work life balance flexibility in working hours a thorough onboarding with support from your personal mentor a permanent employment contract with labcorp drug development excellent training and career development opportunities, as well as support with advancing your individual education strong support from your labcorp line manager and your team, as well as from more than 20,000 colleagues worldwide your responsibilities lead complex studies such as new drug applications submissions or complex, multi-protocol programs, potentially coordinating activities across multiple locations, providing statistical oversight and attending relevant project meetings perform project management activities for identified projects including resource planning, timelines and milestone management serve as data monitoring committee support statistician, developing dmc charters and attending dmc meetings, under direction of statistical consultants lead the development of complex statistical analysis plans, perform senior review of statistical analysis plans developed by other statisticians conduct overall statistical review of tables figures and listings for complex studies prior to client delivery review case report form and other study specific specifications and plans develop the statistical sections of the protocol for complex studies under the supervision of a statistical consultant preparation and review of randomization specifications and generation of randomization schedules provide mentoring and training to less experienced staff; provide direction and review work of departmental employees to ensure accuracy and adherence to pertinent departmental policies, practices, and procedures present and share knowledge at monthly seminars and/or team meetings and at external scientific meetings and conferences attend bid defense meetings for complex studies act as subject matter expert and develop or review procedural documents, or work on new initiatives represent the department during audits. your profile degree in a relevant field such as statistics, computer sciences, etc. solid experience of working as a lead biostatistician in either a biotech, cro or pharmaceutical company ability to program in one or more statistical software packages (sasâ®) used to conduct statistical analyses; sas proficiency including use of a variety of statistical procedures e.g., non-parametric analysis, linear and non-linear models, categorical data and survival analysis proven professional experience with sdtms, adam datasets and tfls proven ability to effectively communicate statistical concepts a good knowledge of the overall clinical trial process competence in the preparation of statistical analysis plans, analysis, reporting, etc. across a variety of trials strong organizational skills, an autonomous and collaborative work style, a curious mind and a keen attention to detail business fluency in english â€“ both verbal and written â€“ is a must labcorp is proud to be an equal opportunity employer as an eoe/aa employer, labcorp strives for diversity and inclusion in the workforce and does not tolerate harassment or discrimination of any kind. we make employment decisions based on the needs of our business and the qualifications of the individual and do not discriminate based upon race, religion, color, national origin, gender (including pregnancy or other medical conditions/needs), family or parental status, marital, civil union or domestic partnership status, sexual orientation, gender identity, gender expression, personal appearance, age, veteran status, disability, genetic information, or any other legally protected characteristic. we encourage all to apply. 2214099""",/jobs/view/3355948375/?alternateChannel=search&refId=tEFRSQLGKNiTL4IATfjEhQ%3D%3D&trackingId=xaJan4FweLld3Af7UsBLWw%3D%3D&trk=d_flagship3_search_srp_jobs,Hospitals and Health Care,"10,001+ employees","Principal Biostatistician, Single Sponsor, Home Or Office Based Emea","Principal Biostatistician, Single Sponsor, Home Or Office Based Emea",[],,['sas']
4,Business Intelligence Consultant,Codex Recruitment - Cloud Technology Recruitment,Netherlands,Netherlands,Remote,Full-time,Mid-Senior level,11-50 employees,Staffing and Recruiting,"""are you a microsoft business intelligence specialist looking for a new role ? you will playing a key part in the growth in delivering niche specialist projects requirements. whilst contributing strategic business areas, create analyzes and implementation concepts and take over the integration of new cloud data sources as well as the implementation in the existing on-prem or azure cloud system landscape! what you can expect: design the structure and further development of the technical bi infrastructure based on microsoft azure technologies together with your colleagues, you drive complex data integration and migration projects and create the right conditions for setting up the dwh structures you develop the corresponding etl processes according to customer and business requirements (ssis, datafactory) you complete a dynamic bi team that takes care of the international bi holistically, starting with the connection of the source system to the provision of reports and dashboards for both internal / external stakeholders what you can bring: you already have professional experience in the bi environment, ideally in the field of data management and modelling you have knowledge of building and modelling multidimensional (olap, mdx) an /or tabular data models (dax) you are characterized by a pronounced affinity for data as well as a high understanding of data structures, modelling of etl routes and possibilities of data integration knowledge of microsoft bi technologies (azure / data factory / ssis / ssas) as well as building dashboards in powerbi fluent dutch & english""",/jobs/view/3430353155/?alternateChannel=search&refId=tEFRSQLGKNiTL4IATfjEhQ%3D%3D&trackingId=8efBIjfsUpAAyRsMjCtQOA%3D%3D&trk=d_flagship3_search_srp_jobs,Staffing and Recruiting,11-50 employees,Business Intelligence Consultant,Business Intelligence Consultant,[],,"['azure', 'powerbi']"
5,Quant Researcher,Cargill,Schiphol, North Holland,On-site,Full-time,Mid-Senior level,"10,001+ employees",Food and Beverage Manufacturing,"""design decision making solutions and build tools globally relating to fundamental and non-fundamental influences on commodity markets. lead the discovery and prototyping of new quantitative tools and strategies. develop scalable machine learning components to generalize models to other data sources, commodities or products and maintain advanced statistical ensemble systems. benchmark, back test and stress-test models to identify true sensitivities and risks. maintain and enhance code repository and models infrastructure in a scalable fashion. coordinate with the trading desks on the model's correct usage to validate conclusions and improvement opportunities. conduct complex market analyses and advise the trading team to adjust their positions as appropriate. independently handle complex issues with minimal supervision, while escalating only the most complex issues to appropriate staff. other duties as assigned qualifications msc degree in science/math/engineering/operations research/quant finance minimum of four years of related work experience experience with advanced statistical methods knowledge of machine learning applications fluent in english. preferred qualifications phd in science/ math/ engineering/ operations research/ quant finance experience with good practice software development and engineering methods, preferably using python comfortable in general with concepts in applied mathematics experience in alternative data in agriculture, energy, commodities we provide a fast paced stimulating international environment, which will stretch your abilities and channel your talents. we also offer competitive salary and benefits combined with outstanding career development opportunities in one of the largest and most solid private companies in the world. interested? then make sure to send us your cv and cover letter in english today: follow us on linkedin: https://www.linkedin.com/company/cargill cargill is committed to being an inclusive employer. click here to find out more https://careers.cargill.com/diversity/""",/jobs/view/3306904225/?alternateChannel=search&refId=tEFRSQLGKNiTL4IATfjEhQ%3D%3D&trackingId=T66LkAgpRwvRE41na%2B0fGw%3D%3D&trk=d_flagship3_search_srp_jobs,Food and Beverage Manufacturing,"10,001+ employees",Quant Researcher,Quant Researcher,[],,['python']
6,Business Intelligence (Bi) Consultant,ilionx,Greater Groningen Area,Netherlands,Hybrid,Full-time,Mid-Senior level,"1,001-5,000 employees",IT Services and IT Consulting,"""business intelligence (bi) consultant locaties: groningen, zwolle het beste resultaat voor de klant in de vorm van flexibele, betrouwbare dataoplossingen, daar gaan we bij ilionx voor. voor klanten bij de overheid, zorg, financiă«le instellingen, bouw en transport. predictive analytics, azure data platform, data lakes en selfservice bi kunnen op onze warme belangstelling rekenen. voor jou als business intelligence (bi) consultant betekent dat: gaaf werk, persoonlijke ontwikkeling en groei. wat bieden wij jou: interessante klanten en boeiende projecten een unieke kans om te laten zien wat je in huis hebt ruimte om te innoveren en te experimenteren het hele traject: van data tot dashboard veel gelegenheid om met collegaâ€™s kennis en ervaringen te delen wat vragen wij van jou: dat je resultaat wilt zien bij jouw klanten je kunt de meest ingewikkelde informatie snel door- en overzien je wordt gefascineerd door de mogelijkheden van data bij bedrijfsprocessen grote nieuwsgierigheid naar de mogelijkheden van innovatieve technologie dat je een leuke, slimme, hardwerkende collega bent jouw functie als business intelligence consultant snap jij de rol van data bij bedrijfsprocessen en daardoor ben je in staat om soms behoorlijk complexe informatievraagstukken om te zetten in praktische, waardevolle business intelligence oplossingen. je achterhaalt de functionele behoeften van de klant, voert (data-)analyses uit, stelt datamodellen op en richt het datawarehouse in. je adviseert je klanten over rapportages en dashboards die je zelf ontwerpt, ontwikkelt en implementeert. interessant en leerzaam werk, waarbij je samenwerkt met deskundige en inspirerende collegaâ€™s ă©n natuurlijk met de klant. realiseren van hoogwaardige oplossingen voor mooie opdrachtgevers en werken aan je eigen ontwikkeling in ă©ă©n! verder heb je minimaal een afgeronde hbo-opleiding richting it; minstens 3-5 jaar ervaring als consultant op het gebied van business intelligence; uitstekende kennis van dataplatforms met microsofttechnologie zoals: sql server, azure data platform, data factory, power bi, databricks, data lakes; een uitstekende beheersing van het nederlands. het team we hebben datateams in amsterdam, utrecht, zwolle, groningen en maastricht die dagelijks gave projecten uitvoeren bij onze klanten op locatie, bij ons op kantoor of thuis achter hun eigen bureau. kom je bij ilionx werken, dan weet je zeker dat je komt te werken met collegaâ€™s die een passie voor data hebben. persoonlijke groei en kennisontwikkeling zijn binnen alle teams essentieel. net als jij beheersen zij het â€ambachtâ€™ om van data naar bruikbare informatie, inzichten of geoperationaliseerde machine learning modellen te komen. dit doen ze met verschillende technieken, vanuit verschillende invalshoeken en bij een zeer diverse klantenkring die in verschillende branches actief zijn. wat krijg je ervoor terug â· goede pensioensregeling â· uitdagende werkomgeving â· reiskostenvergoeding of lease auto â· ruimte om jezelf te ontwikkelen â· tijd voor ontspanning â· goede arbeidsvoorwaarden â· werk hybride, thuis of op kantoor â· thuiswerkvergoeding â· aantrekkelijke bonusregeling â· een contract voor onbepaalde tijd""",/jobs/view/3401219447/?alternateChannel=search&refId=tEFRSQLGKNiTL4IATfjEhQ%3D%3D&trackingId=ehnuq2gLnYNbQB%2BOnOFBVA%3D%3D&trk=d_flagship3_search_srp_jobs,IT Services and IT Consulting,"1,001-5,000 employees",Business Intelligence Consultant,Business Intelligence Consultant,['3-5 jaar'],3-5 jaar,"['azure', 'sql']"
7,Data Analyst,Allen Recruitment Consulting,Amsterdam, North Holland,Hybrid,Contract,Mid-Senior level,51-200 employees,Staffing and Recruiting,"""data analyst based in amsterdam, our client is a global leader in selling furniture and home appliances with a brand recognised worldwide. our client requires a data analyst this is a hybrid role, with the opportunity to work both from home and in the clientâ€™s offices in amsterdam. pay rate per day: up to â‚¬450 per day job reference: bbbh 23025 the role of the data analyst is to assist our clientâ€™s teams in coming up with the best practices for managing master, transactional and operational data and defining critical metrics and baselines to track to answer business-critical questions. responsibilities: data modelling: define and publish robust data models to support analytical requirements around data from data products at. data warehouse design: shape data foundation architecture and evolve the data governance framework to meet ever-changing requirements. performance optimization: monitor costs associated with data transformations and utilize dbt and big query to optimize performance. data quality: define and champion best practices around data quality, ensuring data models are complete with documentation and validation tests. data literacy: embed data literacy at our client through coaching the engineering teams, presenting your work regularly, and contributing to knowledge-sharing sessions. what does the ideal candidate look like? 3-5 yearsâ€™ experience as an analytics engineer, data scientist, or data engineer with a focus on data. data modeling. dashboarding/data storytelling skills. dbt, dataform, or a similar data transformation tool. advantages of contracting/freelancing with allen recruitment: monthly payment terms. online timesheets and contracts. self-billing invoices. online self-ill invoicing. submit your cv (preferred: microsoft word format) today!""",/jobs/view/3451820593/?alternateChannel=search&refId=tEFRSQLGKNiTL4IATfjEhQ%3D%3D&trackingId=eMhVsR%2F9BHgM4Llh%2F1%2BBsw%3D%3D&trk=d_flagship3_search_srp_jobs,Staffing and Recruiting,51-200 employees,Data Analyst,Data Analyst,['3-5 years'],3-5 years,[]
8,Data Analyst Consument,PostNL,The Hague, South Holland,Hybrid,Full-time,Full-time,"10,001+ employees",Truck Transportation,"""wat ga je doen? de ci analist/data analist voert analyses uit en stelt rapportages waarmee de afdeling steeds beter grip krijgt op de behoeftes van de consument. je draagt zorg voor een data-gedreven aanpak in verschillende marketing en klant tevredenheid projecten. je weet jouw analyses duidelijk te vertalen naar duidelijk verhaal voor de stakeholders. je identificeert relevante segmenten die in de organisatie gebruikt gaan worden. samen met jouw werken wij aan het versterken van de klantrelatie met de consument met als doel een hoge klanttevredenheid en een actieve klantenbase in onze kanalen zoals de postnl app waarin we miljoenen gebruikers hebben. je verantwoordelijkheden proactief kansen inzichtelijk te maken voor de business doormiddel van data analyses. structureel monitoren van relevante trends in onze rijke databronnen en het data platform consument en het meetbaar maken van onze activiteiten. je adviseert de verschillende teams aan de hand van jouw inzichten en ervaring met data. onze ambitie we willen de favoriete bezorger van nederland zijn door iedere dag weer bijzondere momenten te bezorgen. daarbij staan onze medewerkers voorop en onze klanten centraal. we zoeken altijd naar manieren om het năłg beter te doen. en daar hebben we jou bij nodig. jij zorgt er voor dat postnl exact weet welke verschillende type consumenten er zijn en welke behoeften zij hebben, zodat we daar steeds beter op aan kunnen sluiten. jouw rol is essentieel voor postnl om onderscheidend te blijven. wat breng jij mee? je bent een expert in consumentendata en hebt praktische ervaring met data analyses. je hebt bij voorkeur ervaring in het consumenten domein en klant segmenteringen. je hebt een natuurlijke interesse in digital ontwikkelingen en wil je verder ontwikkelen in cloud (aws) toepassingen. wat bezorgen we jou? je bent onderdeel van het data & analytics team, bestaande uit 6 data scientists en data analisten. in ons team zijn we altijd op zoek naar mogelijkheden om onze dienstverlening te verbeteren. we denken graag out of the box en zijn niet bang om nieuwe ideeă«n te introduceren. fail fast, learn faster! we kijken uit naar je sollicitatie! weet je niet zeker of deze functie goed aansluit bij jouw kennis en ervaring, maar ben je wel erg enthousiast bij het lezen van het bovenstaande? aarzel dan niet en solliciteer, we horen graag van je! sollicitatieproces 1. sollicitatie bedankt voor je sollicitatie! je krijgt binnen vijf werkdagen een reactie van onze recruiter. 2. telefonisch contact hebben we vragen over je cv of motivatie, dan bellen we je. 3. gesprekken afhankelijk van de functie heb je ă©ă©n of meerdere gesprekken met onze recruiter, je toekomstige manager en directe collegaâ€™s. het eerste gesprek zal meestal online via video zijn. 4. aanbieding je ontvangt per e-mail een arbeidsvoorwaarden aanbod. 5. nieuwe baan je ondertekent je contract digitaal. welkom bij postnl!""",/jobs/view/3434992858/?alternateChannel=search&refId=tEFRSQLGKNiTL4IATfjEhQ%3D%3D&trackingId=Yp7Hx9O3skNMWj2sjP8%2B9A%3D%3D&trk=d_flagship3_search_srp_jobs,Truck Transportation,"10,001+ employees",Data Analyst Consument,Data Analyst,[],,[]
9,Data Analyst,Novisource N.V. - Bron van Excellente Mensen,The Randstad,Netherlands,Hybrid,Contract,Contract,51-200 employees,Business Consulting and Services,"""als data analist ondersteun je opdrachtgevers bij de transformatie naar een data gedreven organisatie, door de informatiebehoefte van de business vast te stellen. met jouw technische achtergrond ben je in staat de juiste data te verzamelen, te analyseren en de vertaalslag naar de gewenste informatie te maken. als data analist ben je verantwoordelijk voor een belangrijk stuk van de puzzel. het samenbrengen van klantdata en andere data en die vervolgens te vertalen naar actionable insights. hierbij ontwikkel en optimaliseer je nieuwe en bestaande dashboards die betrekking hebben op onze opdrachtgevers. je boort nieuwe databronnen aan, conserveert en valideert de data en zorgt dat die overzichtelijk in beeld wordt gebracht. dankzij jouw inzichten kunnen onze opdrachtgevers hun propositie en processen verder verbeteren. je werkt hierin niet alleen nauw samen met je eigen team, maar ook met verschillende teams bij onze opdrachtgevers. hierbij ondersteun en adviseer je ook op tactisch en strategisch niveau. wat vragen wij? - hbo werk/denkniveau; - minimaal 5 jaar ervaring binnen de financiă«le dienstverlening op het gebied van data; - je hebt een sterk analytisch denkvermogen en bent communicatief vaardig; - je beheerst de nederlandse en engelse taal in woord en geschrift; - je hebt eerder gewerkt in een scrum/agile omgeving (sterke pră©); - aantoonbare ervaring met - of interesse naar - data in de financiă«le sector; - ervaring om met multidisciplinaire teams te werken; - je bent oplossings- en resultaatgericht; - een goed ontwikkeld organisatiebewustzijn; - je kunt op tactisch en strategisch niveau adviseren; wat levert het jou op? jouw gedrevenheid binnen novisource wordt beloond. wij vinden het belangrijk dat jij je kunt blijven ontwikkelen en kunt doorgroeien, en bent daarin altijd in de lead! naast vakinhoudelijke opleidingen bieden wij je via de novisource academy ook cursussen en trainingen op het gebied van diverse methodieken en vaardigheden aan. vind je het hiernaast juist leuk om kennis te delen? dan dagen wij je graag uit om dit op ons kennisplatform te delen in de vorm van online trainingen voor zowel de klant als jouw collegaâ€™s. en vanzelfsprekend bieden wij jou: - een goed salaris; - pakket aan secundaire arbeidsvoorwaarden; - een unieke bonusregeling; - faciliteiten om jouw werk goed uit te kunnen voeren zoals een auto, laptop, telefoon- en onkostenvergoeding. wie wij zijn: het novisource team bestaat uit een groep enthousiaste collegaâ€™s. samen zijn zij verantwoordelijk voor het realiseren van change bij banken, verzekeraars en vermogensbeheerders. het team bestaat uit gedreven en ondernemende professionals met een kritische houding en ruime ervaring binnen diverse disciplines. deze disciplines zijn: regulatory change, digital transformation, information security en data management & application integration. lijkt het jou interessant om meer te weten te komen over (een van deze) disciplines? dat komt goed uit! novisource is namelijk op zoek naar iemand met een proactieve houding. iemand die zin heeft om samen met het team op zoek te gaan naar de beste kandidaten en iemand die accuraat en oplossingsgericht te werk gaat. herken jij jezelf hierin? dan is deze baan jou op het lijf geschreven!""",/jobs/view/3402494762/?alternateChannel=search&refId=tEFRSQLGKNiTL4IATfjEhQ%3D%3D&trackingId=CxjMxT2xEIC36vIUkxMuuA%3D%3D&trk=d_flagship3_search_srp_jobs,Business Consulting and Services,51-200 employees,Data Analyst,Data Analyst,['5 jaar'],5 jaar,[]
